"","D1_NC1","D1_NC10","D1_NC11","D1_NC12","D1_NC13","D1_NC14","D1_NC15","D1_NC16","D1_NC17","D1_NC18","D1_NC19","D1_NC2","D1_NC20","D1_NC21","D1_NC22","D1_NC23","D1_NC24","D1_NC25","D1_NC26","D1_NC27","D1_NC3","D1_NC4","D1_NC5","D1_NC6","D1_NC7","D1_NC8","D1_NC9","D1_UC1","D1_UC10","D1_UC11","D1_UC12","D1_UC13","D1_UC14","D1_UC15","D1_UC16","D1_UC17","D1_UC18","D1_UC19","D1_UC2","D1_UC20","D1_UC21","D1_UC22","D1_UC23","D1_UC24","D1_UC25","D1_UC26","D1_UC27","D1_UC28","D1_UC29","D1_UC3","D1_UC4","D1_UC5","D1_UC6","D1_UC7","D1_UC8","D1_UC9","D2_NC1","D2_NC2","D2_NC3","D2_NC4","D2_NC5","D2_NC6","D2_UC2","D2_UC3","D2_UC4","D2_UC5"
"18",0,2,2,1,3,1,0,0,0,0,1,0,1,3,0,0,4,3,0,0,2,0,0,2,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"19",2,1,2,1,0,0,2,0,0,2,0,1,0,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,2,1,4,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,2,0,0,1,0,0,0,0,1,0,1,0
"20",0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2,1,0,0,1,2,1,1,0,0,1,0,1,2,0,2,1,2,0,2,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0
"21",1,1,3,1,3,2,0,0,0,3,1,0,3,2,0,0,5,0,1,0,1,0,0,2,0,0,2,1,1,1,4,12,1,0,0,4,0,0,1,0,0,2,0,5,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"22",1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0
"23",1,1,3,1,0,0,0,1,1,1,0,0,1,2,0,0,0,2,0,1,1,1,0,1,0,0,0,0,1,2,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1
"24",3,0,0,0,1,0,1,4,1,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,2,1,0,2,0,2,0,1,0,2,2,0,1,0,0,2,3,0,0,2,1,14,1,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,2
"25",4,0,2,1,0,0,0,1,1,1,1,0,1,2,2,2,0,0,0,1,0,1,2,1,0,1,0,1,2,1,1,0,0,5,1,1,0,1,1,1,0,1,1,1,0,2,2,0,0,1,0,1,0,1,4,1,0,0,0,0,6,0,1,1,1,3
"26",1,1,0,0,0,2,0,0,3,0,2,0,1,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0
"27",1,0,3,0,6,3,0,0,1,0,0,0,0,0,1,1,1,2,2,0,0,0,2,3,0,0,0,0,0,1,2,5,1,0,2,1,0,1,0,0,0,1,0,2,0,0,1,2,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0
"28",1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,1,3,0,2,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1
"29",0,4,4,2,4,2,0,1,1,1,1,0,2,3,1,0,0,4,0,0,1,0,5,2,1,0,2,0,0,4,0,15,0,1,0,3,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"30",1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,14,0,0
"31",0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,1,0,2,1,0,2,0,0,0,1,0,1,1,1,0,0,1,1,2,0,1,1,1,2,1,0,1,0,1,2,1,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,1,2
"32",1,2,0,0,0,1,0,1,0,0,3,2,1,0,2,1,1,0,1,1,1,0,0,0,0,2,1,1,0,1,1,2,2,0,2,1,0,1,0,0,1,0,1,1,1,3,1,3,1,1,2,0,3,1,1,0,1,0,1,1,1,0,1,1,1,0
"33",0,0,0,1,1,0,1,2,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,2,2,3,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,2,1,0
"34",1,0,0,2,1,0,2,0,0,0,2,1,0,1,4,1,1,0,0,2,2,2,1,0,2,0,4,1,0,3,0,2,2,2,2,2,0,0,0,1,3,0,3,2,1,2,1,2,1,0,2,1,3,2,2,1,1,0,0,0,1,0,1,3,0,1
"35",2,2,1,0,1,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1
"36",0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,1,1,0,0,1,1,0,0,1,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,2
"37",0,2,1,0,2,2,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,4,2,3,0,0,1,0,0,1,0,1,1,0,0,1,1,1,2,0,0,1,1,0,2,1,0,0,0,0,0,1,1,1,0,2,0,0
"38",0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,4,2,1,0,0,0,0,0,0,1,0,1,0,1
"39",0,6,4,0,0,7,0,1,3,2,2,1,2,2,2,0,3,2,1,1,1,0,1,3,0,2,1,0,2,4,1,3,3,0,0,0,0,1,0,1,2,0,1,1,2,1,0,2,1,1,1,0,2,1,2,0,0,5,0,5,7,1,3,0,2,0
"40",1,1,5,1,2,1,0,1,2,3,0,0,1,1,0,0,3,1,0,0,1,0,0,3,0,0,0,0,1,2,1,4,1,0,0,1,1,1,0,0,1,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1
"41",0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,2,0,1,2,5,0,0,0,0,1,1,2,0,0,1,0,3,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0
"42",0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,2,0,0,1,0,0,2,0,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5,0,0
"43",1,6,1,1,0,0,0,1,1,1,2,0,3,1,0,0,0,1,0,0,2,3,1,0,0,0,3,0,1,5,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0
"44",1,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,2,2,1,0,0,0,4,0,0,0,0,0,1,0,2,0,1,4,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"45",0,1,0,0,0,0,2,0,0,0,0,0,4,2,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,1,0,0,1,2,0,4,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,1,0,1
"46",1,3,0,0,1,1,1,1,0,0,0,1,1,0,1,4,0,0,0,2,0,3,0,0,2,0,2,1,1,0,0,0,3,1,1,0,1,1,1,2,1,0,0,1,1,2,0,3,0,0,0,0,4,2,0,0,1,0,0,2,1,0,0,9,1,1
"47",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,2,1,0,3,0,0
"48",1,1,0,0,0,1,1,2,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"49",1,3,1,0,1,2,2,1,1,1,5,1,2,4,4,2,0,0,1,1,2,0,1,0,1,1,2,0,1,2,0,0,1,2,3,0,1,0,1,1,3,2,1,1,0,0,1,1,1,2,1,0,1,1,2,1,1,6,0,5,7,3,6,0,4,1
"50",3,1,1,1,1,0,0,3,0,0,3,1,0,3,0,1,1,1,0,3,0,3,1,0,0,0,2,0,0,2,1,0,2,2,1,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,2,2,0,3,0,1,0,0,0,3,1,0,0,0,1
"51",1,0,0,0,0,0,0,1,0,0,2,1,0,0,2,3,0,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,3,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,2,6,0,0
"52",0,0,1,1,2,1,1,1,1,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,2,2,2,0,1,1,0,0,0,0,1,0,0,2,1,0,1,2,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,3,0,0
"53",0,0,2,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"54",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,1,5,0,0,2,2,1,0,0,0,0,0,0,2,5,0,1
"55",0,1,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
"56",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,0,0,1,0,0,0,3,3,0,0,0,1,0,0,1,0,1,1,2,1,0,3,0,1,4,0,0,3,1,1,0,0,0,0,1,0,2,2,0,0
"57",3,4,2,2,3,3,0,2,1,0,0,0,5,2,0,0,1,3,0,0,1,1,3,1,0,0,1,0,5,2,1,2,3,0,2,1,0,2,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"58",1,2,2,0,1,5,0,0,1,1,0,1,6,1,0,0,1,6,1,0,0,2,3,2,0,0,0,0,1,3,5,9,0,0,1,4,0,0,0,1,1,0,0,2,1,1,0,2,0,0,0,0,4,0,2,0,0,0,1,0,1,2,0,0,2,0
"59",0,0,1,0,2,1,0,1,2,1,1,0,2,1,0,0,1,3,0,0,0,0,0,2,1,0,1,0,0,3,0,2,0,0,0,5,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"60",1,0,4,0,0,2,2,1,2,0,0,0,2,2,4,1,1,0,1,1,1,0,0,2,2,0,0,2,1,1,0,4,2,1,0,2,0,0,2,1,0,1,3,0,4,2,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,2,0,1
"61",0,4,0,0,0,0,5,1,0,0,1,1,0,0,4,2,0,0,3,0,0,1,0,0,2,1,1,1,0,0,0,0,4,0,0,0,1,0,0,3,0,0,2,0,3,2,1,1,0,1,0,1,3,2,0,1,2,0,0,1,1,1,2,7,0,1
"62",1,4,1,0,2,1,0,2,1,0,1,0,0,1,1,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,0,0,2,0,0,1,2,1
"63",0,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,1,1,0,0,1,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"64",1,2,2,1,0,1,1,2,1,1,1,2,1,2,5,3,2,0,3,0,0,1,3,2,4,4,1,8,2,5,8,1,4,0,1,1,1,0,1,4,2,1,1,0,2,4,0,4,0,3,3,3,5,2,1,2,2,0,1,2,0,2,0,3,0,1
"65",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,3,3,2
"66",0,0,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67",1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,1,0,3,0,2,0,0,3,1,0,0,2,0,1,1,3,0,0
"68",0,2,2,1,0,4,0,0,0,3,0,0,0,3,0,0,1,0,1,1,1,0,3,6,0,0,0,0,0,3,3,8,0,0,2,4,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"69",0,2,0,1,0,1,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,2,2,1,1,0,1,1,0,2,1,0,2,4,0,3,0,0,1,2,1,1,3,0,0,0,0,0,2,0,1,2,1,1
"70",0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"71",0,1,1,0,1,3,0,0,1,0,1,0,1,0,0,0,3,5,0,1,2,0,1,3,0,0,0,0,1,6,3,4,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,7,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
"72",0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3,3,1,1,0,0,1,0,0,0,2,2,1,0,0,1,1,1,2,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,2
"73",2,1,1,0,2,6,5,6,0,6,1,3,0,2,4,2,2,0,1,0,0,0,0,2,1,0,0,3,0,0,2,10,1,3,1,2,1,2,0,3,3,0,4,1,1,0,2,3,1,1,2,2,3,1,0,0,0,2,1,1,3,3,1,7,2,1
"74",1,7,3,3,1,4,0,3,1,1,2,1,4,4,0,0,1,3,0,2,3,2,2,2,0,1,0,0,0,8,5,1,3,1,2,2,1,1,2,1,2,1,0,0,0,2,0,1,1,1,0,0,0,1,3,0,0,1,0,0,3,0,2,0,2,1
"75",1,2,1,0,1,0,0,1,1,3,3,1,0,2,1,1,1,4,1,1,3,0,1,1,0,0,0,0,2,5,1,10,4,1,0,2,0,0,1,0,1,0,0,1,0,0,1,2,2,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,2,0
"76",1,1,0,0,0,1,0,4,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0,2,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1,0,2,0,0,0,2,1,2,1,4,0,1
"77",0,2,1,1,0,1,0,1,0,0,5,1,0,3,0,0,1,0,0,3,1,4,3,1,0,0,2,0,0,0,0,0,0,4,0,3,0,2,0,0,3,0,0,3,0,0,0,1,0,1,0,1,0,1,2,0,1,5,0,0,9,0,1,0,3,1
"78",0,2,0,0,1,1,1,2,0,1,0,1,1,0,2,3,0,0,1,0,0,1,1,0,0,3,0,2,0,1,1,2,4,0,0,2,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0
"79",1,1,3,0,1,0,0,0,1,1,0,0,1,3,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,4,0,2,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"80",2,1,3,0,2,2,0,1,2,2,1,1,1,3,1,0,1,2,0,0,1,1,0,1,0,1,5,0,1,4,1,4,0,1,0,1,0,0,0,0,1,0,0,3,1,0,0,2,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
"81",0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,0,1,1,1,1,1,0,0,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1
"82",0,2,4,0,2,1,0,1,1,0,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,1,0,0,3,0,0,1,0,1,1,2,0
"83",0,0,3,1,4,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"84",0,2,1,2,2,1,0,0,0,2,0,1,0,2,0,2,0,2,0,1,0,0,2,0,0,0,0,1,1,1,1,3,0,0,1,1,0,0,0,1,1,0,1,3,0,1,0,0,0,1,1,0,1,2,1,0,1,0,0,1,2,1,1,0,1,1
"85",0,2,2,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"86",0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,1,0,0,0,0,0,8,0,0
"87",0,0,0,0,0,0,3,1,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0
"88",0,2,0,1,2,0,0,0,1,1,0,1,0,2,0,0,2,4,0,0,0,1,3,0,1,0,1,0,1,0,2,2,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,0,0,1,1,0,0,1,0
"89",2,1,2,1,3,1,0,0,1,3,1,0,2,2,0,0,2,2,0,2,0,1,2,2,0,0,2,0,0,5,3,2,1,1,0,2,0,1,0,1,3,1,0,6,2,0,0,1,1,0,0,0,2,1,0,0,2,1,1,0,1,2,1,0,1,0
"90",1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,2,0,1,1,2,0,0,0,2,1,2,2,0,0
"91",2,2,1,3,4,1,0,0,1,1,2,2,0,4,0,0,2,0,0,0,3,0,1,5,1,0,0,0,4,2,0,2,0,1,0,1,0,3,0,0,3,0,0,4,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,1
"92",2,2,4,2,5,3,0,0,1,1,1,1,2,0,2,3,0,3,0,1,5,0,1,4,0,1,2,2,4,4,3,16,1,1,1,1,0,2,3,1,0,0,0,5,1,2,1,1,0,0,1,3,2,0,0,3,0,0,1,1,2,1,1,1,1,0
"93",1,2,0,0,0,0,3,7,0,0,2,0,1,0,0,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,2,0,4,0,2,0,0,1,0,0,0,0,0,3,0,2,0,3,0,1,2,1,1,0,0,0,0,0,2,0,2,4,1,1
"94",0,1,2,0,2,1,0,2,0,0,0,1,1,1,1,0,3,1,0,0,0,0,3,2,1,0,0,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"95",1,1,0,0,0,4,1,3,0,3,1,2,1,1,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,1,1,5,0,3,2,0,0,0,1,0,0,1,2,0,2,1,1,4,1,0,1,0,1,1,0,0,1,1,1,0,0,2,1,3,2,1
"96",0,3,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,1,0,2,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,1,1,0,2,1,0,0,0,0,1,3,0,0,0,0,1,0
